Table:	CodeValueList
PK	ListName	ListCode	ListCodeNum	SortSeq	CodeValue	MinValue	MaxValue	CodeDesc
22393	ApprovedBoats	MAFXI-62-ZO-12	217	217	Malibu Respons Fxi-62 ZO			Old | Indmar Hammerhead 6.2L | Fuel Del:MPI | Trans:1.01 | Propeller Mfr,Blades, Size:OJ, 3, 13 x 12 Nibral | ZO
22394	ApprovedBoats	MC190MCX-57-ZO	218	218	MasterCraft 190 MCX 5.7L			Old | Indmar MCX 5.7L | Fuel | Trans: 1.26:1/1.25:1 | Propeller Mfr,Blades, Size:OJ, 4, 13.7 x 15 Nibral, OJ, 4, 14.25 x 14 Nibral, OJ, 4, 13 x 14.5 | ZO
22395	ApprovedBoats	MC190LY6-60-ZO	219	219	MasterCraft 190 LY6 6.0L			Old | Indmar LY6 6.0L | Fuel | Trans: 1.22:1 | Propeller Mfr,Blades, Size:OJ, 4, 13.7 x 15 Nibral, OJ, 4, 14.25 x 14 Nibral, OJ, 4, 13 x 14.5 | ZO
22396	ApprovedBoats	MC197MCX-57-ZO	220	220	MasterCraft 197 MCX 5.7L			Old | Indmar MCX 5.7L | Fuel | Trans: 1.26:1/1.25:1 | Propeller Mfr,Blades, Size:OJ, 4, 13.7 x 15 Nibral, OJ, 4, 14.25 x 14 Nibral, OJ, 4, 13 x 14.5 | ZO
22397	ApprovedBoats	MC197LY6-60-ZO	221	221	MasterCraft 197 LY6 6.0L			Old | Indmar LY6 6.0L | Fuel | Trans: 1.22:1 | Propeller Mfr,Blades, Size:OJ, 4, 13.7 x 15 Nibral, OJ, 4, 14.25 x 14 Nibral, OJ, 4, 13 x 14.5 | ZO
22398	ApprovedBoats	MC190-57-ZO	222	222	MasterCraft 190 - 5.7L ZO			Old | Indmar MCX 5.7L | Fuel Del:EFI | Trans:1.26:1 | Propeller Mfr,Blades, Size:OJ, 4, 13.7 x 15 Nibral | ZO
22399	ApprovedBoats	MC190-60-ZO	223	223	MasterCraft 190-6.0L ZO			Old | Indmar LY6 6.0L | Fuel Del:EFI | Trans:1.22:1 | Propeller Mfr,Blades, Size:OJ, 4, 14.25 x 14 Nibral | ZO
22400	ApprovedBoats	MC197-57-ZO	224	224	MasterCraft 197-5.7L ZO			Old | Indmar MCX 5.7L | Fuel Del:EFI | Trans:1.26:1 | Propeller Mfr,Blades, Size:OJ, 4, 13.7 x 15 Nibral, OJ, 4, 14.25 x 14 Nibral | ZO
22401	ApprovedBoats	MC207-57-ZO	225	225	MasterCraft 214-5.7L ZO			Old | Indmar MCX 5.7L | Fuel Del:MPI | Trans:1.01 | Propeller Mfr,Blades, Size:OJ, 3, 13 x 12 Nibral | ZO
22402	ApprovedBoats	MC207-57-PS	226	226	MasterCraft 214-5.7L PS			Old | Indmar MCX 5.7L | Fuel Del:MPI | Trans:1.01 | Propeller Mfr,Blades, Size:OJ, 3, 13 x 12 Nibral | PP 6.5ng PPSG
