Table:	NopsData										
SkiYear	Event	AgeGroup	SortSeq	Base	Adj	RatingMedian	RatingRec	RatingOpen	OverallBase	OverallExp	EventsReqd
15	Slalom	W6	1	1500	0	69	89	0	8	4.233	3
15	Trick	W6	2	15000	0	1500	3950	0	0	1.135	3
15	Jump	W6	3	1500	14.4	51	96	0	0	1.37	3
15	Slalom	W7	1	1500	0	62.5	80	0	8	4.325	3
15	Trick	W7	2	15000	0	1250	3330	0	0	1.121	3
15	Jump	W7	3	1500	10.35	36	69	0	0	1.328	3
15	Slalom	W8	1	1500	0	61.5	75.5	0	8	5.188	2
15	Trick	W8	2	15000	0	700	2270	0	0	0.934	2
15	Jump	W8	3	1500	8.55	36	57	0	0	1.934	2
15	Slalom	W9	1	1500	0	53.5	68	0	8	4.381	2
15	Trick	W9	2	15000	0	500	1710	0	0	0.893	2
15	Jump	W9	3	1500	6.75	32	45	0	0	2.645	2
15	Slalom	WA	1	1500	0	37	56	0	8	2.441	2
15	Trick	WA	2	15000	0	400	1370	0	0	0.892	2
15	Jump	WA	3	1500	4.8	29	32	0	0	9.401	2
15	Slalom	WB	1	1500	0	25	40	0	8	2.005	2
15	Trick	WB	2	15000	0	200	600	0	0	1	2
15	Jump	WB	3	1500	4.8	27	32	0	0	5.409	2
15	Slalom	OM	1	1500	0	85	122.5	0	8	3.004	3
15	Trick	OM	2	15000	0	950	12090	0	0	0.432	3
15	Jump	OM	3	1500	37.05	109	247	0	0	1.026	3
15	Slalom	OW	1	1500	0	63.5	111.5	0	8	1.923	3
15	Trick	OW	2	15000	0	850	10180	0	0	0.442	3
15	Jump	OW	3	1500	26.4	66	176	0	0	0.827	3
15	Slalom	MM	1	1500	0	89.5	115.25	0	8	4.342	3
15	Trick	MM	2	15000	0	1300	11570	0	0	0.503	3
15	Jump	MM	3	1500	32.25	115	215	0	0	1.387	3
15	Slalom	NM	1	1500	0	77.5	121	0	8	2.456	3
15	Trick	NM	2	15000	0	700	11070	0	0	0.398	3
15	Jump	NM	3	1500	31.35	84	209	0	0	0.903	3
15	Slalom	NW	1	1500	0	57.5	109	0	8	1.684	3
15	Trick	NW	2	15000	0	600	8930	0	0	0.407	3
15	Jump	NW	3	1500	23.25	45	155	0	0	0.61	3
